terms
bill
capital
cash
check
fund
pay
payment
property
salary
wage
wealth
banknote
bankroll
bread
bucks
chips
coin
coinage
dough
finances
funds
gold
gravy
greenback
loot
pesos
resources
riches
roll
silver
specie
treasure
wad
wherewithal
almighty dollar
hard cash
legal tender
medium of exchange
